BAGNUMBER,TubeNo,SPECIESID,source,mnt25,elBin,Genus,Pinned,
85,9991911,Myrme_gram,s,601.7,600,Myrme,,
61,9990501,Sole_fuga,s,515.2,500,Sole,,
61,9990712,Sole_fuga,s,534.3,500,Sole,,
61,9990813,Sole_fuga,s,515.2,500,Sole,,
62,9990870,Sole_fuga,s,435.3,400,Sole,,
62,9990941,Sole_fuga,s,560.4,500,Sole,,
62,9990981,Sole_fuga,s,622.5,600,Sole,,
62,9991290,Sole_fuga,s,644.6,600,Sole,,
62,9991455,Sole_fuga,s,383.6,300,Sole,,
62,9991470,Sole_fuga,s,368,300,Sole,,
62,9991508,Sole_fuga,s,383.4,300,Sole,,
61,9991535,Sole_fuga,s,514.2,500,Sole,,
61,9991678,Sole_fuga,s,654.2,600,Sole,,
61,9991701,Sole_fuga,s,380.8,300,Sole,,
62,9991732,Sole_fuga,s,627.6,600,Sole,,
62,9991839,Sole_fuga,s,484,400,Sole,,
61,9992533,Sole_fuga,s,443.5,400,Sole,,
61,9992893,Sole_fuga,s,534.3,500,Sole,,
110,9990505B,Sole_fuga,s,1511,1500,Sole,,
38,9990029,Tapi_erra,s,1049.6,1000,Tapi,,
38,9990116,Tapi_erra,s,1087.1,1000,Tapi,,
38,9990312,Tapi_erra,s,442.1,400,Tapi,,
38,9990919,Tapi_erra,s,514.2,500,Tapi,,
38,9991094,Tapi_erra,s,445.8,400,Tapi,,
38,9991099,Tapi_erra,s,721.7,700,Tapi,,
38,9991105,Tapi_erra,s,514.2,500,Tapi,,
38,9991285,Tapi_erra,s,568.9,500,Tapi,,
38,9991349,Tapi_erra,s,1444.4,1400,Tapi,,
38,9991528,Tapi_erra,s,1087.1,1000,Tapi,,
38,9992323,Tapi_erra,s,1337.4,1300,Tapi,,
124,9991527,Temn_affi,s,501.9,500,Temn,1,
121,9990065,Temn_nigr,s,1120,1100,Temn,1,
121,9991576,Temn_nigr,s,1275.5,1200,Temn,1,
119,9990017,Temn_nyla,s,735.7,700,Temn,1,
115,9990064,Temn_nyla,s,735.7,700,Temn,1,
88,9990254,Temn_nyla,s,1340.9,1300,Temn,1,
118,9990578,Temn_nyla,s,955.4,900,Temn,1,
115,9990583,Temn_nyla,s,849.3,800,Temn,1,
115,9990584,Temn_nyla,s,961.7,900,Temn,1,
120,9990761,Temn_nyla,s,504.9,500,Temn,1,
118,9990804,Temn_nyla,s,502.2,500,Temn,1,
119,9990964,Temn_nyla,s,381.3,300,Temn,1,
119,9990988,Temn_nyla,s,668.4,600,Temn,1,
117,9991270,Temn_nyla,s,501.2,500,Temn,1,
118,9991382,Temn_nyla,s,605.1,600,Temn,1,
115,9992317,Temn_nyla,s,439.5,400,Temn,1,
118,9992328,Temn_nyla,s,676.5,600,Temn,1,
119,9993093,Temn_nyla,s,387,300,Temn,1,
117,9993116,Temn_nyla,s,439.5,400,Temn,1,
117,9993306,Temn_nyla,s,709.8,700,Temn,1,
123,9990747,Temn_parv,s,612.7,600,Temn,1,
123,9991765,Temn_parv,s,636.6,600,Temn,1,
90,9990228,Temn_tube,s,1364.4,1300,Temn,1,
125,9991077,Temn_tube,s,1524.1,1500,Temn,1,
126,9991453,Temn_unif,s,622.5,600,Temn,1,
110,9990219,Tetr_alpe,s,1352.1,1300,Tetr,1,Sci-1
110,9990263,Tetr_alpe,s,1340.9,1300,Tetr,1,Sci-1
110,9990316,Tetr_alpe,s,1515.1,1500,Tetr,1,Sci-1
110,9991368,Tetr_alpe,s,1468.4,1400,Tetr,1,Sci-1
110,9991774,Tetr_alpe,s,1050.5,1000,Tetr,1,Sci-1
110,9990007,Tetr_alpe,s,1385.1,1300,Tetr,1,Sci-2
110,9990012,Tetr_alpe,s,1656.4,1600,Tetr,1,Sci-2
110,9990162,Tetr_alpe,s,1360.3,1300,Tetr,1,Sci-2
110,9990367,Tetr_alpe,s,1043.4,1000,Tetr,1,Sci-2
110,9990742,Tetr_alpe,s,1120,1100,Tetr,1,Sci-2
110,9990788,Tetr_alpe,s,1118.4,1100,Tetr,1,Sci-2
110,9991312,Tetr_alpe,s,1038.2,1000,Tetr,1,Sci-2
110,9991530,Tetr_alpe,s,1682.4,1600,Tetr,1,Sci-2
110,9991548,Tetr_alpe,s,1265.9,1200,Tetr,1,Sci-2
110,9991697,Tetr_alpe,s,1531.3,1500,Tetr,1,Sci-2
110,9991764,Tetr_alpe,s,514.2,500,Tetr,1,Sci-2
110,9992729,Tetr_alpe,s,1423.2,1400,Tetr,1,Sci-2
113,9991345,Tetr_caes,s,803.1,800,Tetr,1,Sci-3
113,9991680,Tetr_caes,s,765.8,700,Tetr,1,Sci-3
112,9991724,Tetr_caes,s,865.9,800,Tetr,1,Sci-3
114,9991754,Tetr_caes,s,1269.9,1200,Tetr,1,Sci-3
112,9991958,Tetr_caes,s,653.5,600,Tetr,1,Sci-3
112,9992330,Tetr_caes,s,600.4,600,Tetr,1,Sci-3
113,9992728,Tetr_caes,s,442.4,400,Tetr,1,Sci-3
114,9990507,Tetr_caes,s,773,700,Tetr,1,"Sci-3, Sci-4"
114,9991092,Tetr_caes,s,512.1,500,Tetr,1,Sci-4
114,9991753,Tetr_caes,s,803.1,800,Tetr,1,Sci-4
109,9990030,Tetr_impu,s,1679.8,1600,Tetr,1,Sci-1
109,9990187,Tetr_impu,s,1385.1,1300,Tetr,1,Sci-1
109,9990619,Tetr_impu,s,1515.4,1500,Tetr,1,Sci-1
109,9990713,Tetr_impu,s,442.4,400,Tetr,1,Sci-1
109,9990922,Tetr_impu,s,1120,1100,Tetr,1,Sci-1
109,9990967,Tetr_impu,s,1120,1100,Tetr,1,Sci-1
109,9991093,Tetr_impu,s,1670.7,1600,Tetr,1,Sci-1
109,9991842,Tetr_impu,s,435,400,Tetr,1,Sci-1
